Epoch,NodeTrain,NetTrain,NodeValid,NetValid,NodeTest,NetTest,Time
1,391.21374893188477,811.8734893798828,237.32643127441406,407.0132141113281,261.5188293457031,543.1632080078125,64.76
2,390.5499923706055,788.0604583740235,236.35113525390625,388.270263671875,260.8139953613281,522.0543212890625,154.23
3,390.0842544555664,762.3063446044922,236.51211547851562,366.61370849609375,260.8537292480469,497.3006591796875,218.02
4,390.5716812133789,730.9403289794922,237.0587158203125,341.12969970703125,261.11492919921875,467.8623046875,281.62
5,390.876424407959,694.5389373779296,237.6173858642578,312.40673828125,261.5610656738281,434.5920104980469,357.9
6,391.6236740112305,655.738003540039,238.41021728515625,282.2597351074219,262.40142822265625,399.5450439453125,419.7
7,391.7258430480957,615.6403747558594,237.82632446289062,252.52264404296875,262.3331298828125,364.81787109375,482.16
8,391.07249984741213,573.4216796875,237.05311584472656,223.4002685546875,261.65875244140625,330.50946044921875,543.33
9,390.6198020935059,533.624851989746,237.1594696044922,192.93899536132812,261.6991271972656,294.3180236816406,605.62
10,390.65278778076174,489.832096862793,237.1103057861328,163.57884216308594,261.6321105957031,258.8540954589844,666.64
11,390.6817207336426,447.4204376220703,237.19808959960938,134.8391876220703,261.7749938964844,223.4059295654297,728.0
12,390.7611259460449,403.89638366699216,237.18057250976562,107.88408660888672,261.8089599609375,189.33543395996094,789.91
13,390.7607063293457,360.63210983276366,237.1227569580078,83.57832336425781,261.7976379394531,157.62841796875,851.82
14,390.72564697265625,321.99678497314454,237.09628295898438,61.34293746948242,261.7840881347656,127.40910339355469,915.2
15,390.7442855834961,285.0055473327637,237.26318359375,43.122901916503906,261.813232421875,101.06591796875,990.07
16,390.91869201660154,249.85733871459962,237.4250030517578,29.955780029296875,262.0129699707031,79.65564727783203,1057.48
17,390.97095413208007,220.5027214050293,237.3872528076172,21.479379653930664,262.0768127441406,63.210235595703125,1120.36
18,390.99446334838865,195.88095245361328,237.2767791748047,17.49793243408203,262.0196533203125,51.825069427490234,1181.77
19,390.96741104125977,180.04410133361816,237.36749267578125,17.37514305114746,262.0587463378906,44.01722717285156,1242.57
20,391.0922134399414,165.04878997802734,237.53355407714844,20.421361923217773,262.2037048339844,40.584869384765625,1304.12
21,391.1582374572754,156.41846675872802,237.4408721923828,25.51460075378418,262.10150146484375,39.94137954711914,1372.96
22,391.0945732116699,149.7217363357544,237.58462524414062,30.667200088500977,262.2209167480469,40.8737907409668,1444.47
23,391.27599182128904,147.44316520690919,237.7156982421875,36.83582305908203,262.2813415527344,43.012725830078125,1510.24
24,391.25499801635743,144.85678939819337,237.64862060546875,39.69611358642578,262.19342041015625,44.231658935546875,1581.62
25,391.0968818664551,144.19569816589356,237.5166778564453,41.745513916015625,262.01910400390625,45.21082305908203,1647.23
26,390.83970947265624,143.6828172683716,237.1011505126953,46.8630485534668,261.6428527832031,47.684993743896484,1709.06
27,390.60440826416016,143.53891410827637,237.16134643554688,49.25504684448242,261.70953369140625,49.1146354675293,1770.88
28,390.58649291992185,143.56007900238038,237.26095581054688,48.588096618652344,261.78936767578125,48.80832290649414,1832.93
29,391.010563659668,143.08639488220214,237.70809936523438,50.3282470703125,262.1806945800781,49.80283737182617,1894.36
30,391.34447784423827,143.12173805236816,237.7930145263672,50.92149353027344,262.26947021484375,50.230369567871094,1957.66
31,391.2932327270508,143.1181167602539,237.71261596679688,50.95755386352539,262.2220153808594,50.184669494628906,2019.84
32,391.18282623291014,142.86118927001954,237.6530303955078,50.91394805908203,262.1740417480469,50.20094299316406,2082.36
33,391.1076385498047,143.00397834777831,237.6315155029297,52.809513092041016,262.1098937988281,51.26062774658203,2142.56
34,391.15626525878906,142.99509315490724,237.79161071777344,52.94945526123047,262.32757568359375,51.614990234375,2204.63
35,391.2758758544922,143.17911128997804,237.80133056640625,49.292381286621094,262.33416748046875,49.696475982666016,2272.93
36,391.1879821777344,142.6395460128784,237.7384796142578,50.430580139160156,262.26824951171875,50.33174133300781,2336.98
37,391.08530349731444,142.71366844177246,237.6490020751953,51.5244140625,262.1626892089844,51.05796813964844,2397.72
38,391.0099151611328,142.4482852935791,237.62765502929688,50.43600082397461,262.1597900390625,50.378509521484375,2458.83
39,391.0616172790527,142.73089675903321,237.49801635742188,50.130123138427734,261.94952392578125,50.03951644897461,2521.07
40,390.7847503662109,142.7005346298218,237.3974151611328,48.21894454956055,261.9114074707031,49.17524719238281,2581.71
